Drawer #,Slot #,Size,Empty?,,
001-46,9,10x,,,
001-46,10,10x,,,
001-47,1,10x,,,
001-47,2,10x,,,
001-47,3,10x,,,
001-47,4,10x,,,
001-47,5,10x,,,
001-47,6,10x,,,
001-47,7,10x,,,
001-47,8,10x,,,
001-47,9,10x,,,
001-47,10,10x,,,
001-48,1,10x,,,
001-48,2,10x,,,
001-48,3,10x,,,
001-48,4,10x,,,
001-48,5,10x,,,
001-48,6,10x,,,
001-48,7,10x,,,
001-48,8,10x,,,
001-48,9,10x,,,
001-48,10,10x,,,
001-49,1,10x,,,
001-49,2,10x,,,
001-49,3,10x,,,
001-49,4,10x,,,
001-49,5,10x,,,
001-49,6,10x,,,
001-49,7,10x,,,
001-49,8,10x,,,
001-49,9,10x,,,
001-49,10,10x,,,
001-50,1,2x,,,
001-50,2,2x,,,
001-51,1,10x,,,
001-51,2,10x,,,
001-51,3,10x,,,
001-51,4,10x,,,
001-51,5,10x,,,
001-51,6,10x,,,
001-51,7,10x,,,
001-51,8,10x,,,
001-51,9,10x,,,
001-51,10,10x,,,
001-52,1,4,,,
001-52,2,12,,,
001-53,1,10x,,,
001-53,2,10x,,,
001-53,3,10x,,,
001-53,4,10x,,,
001-53,5,10x,,,
001-53,6,10x,,,
001-53,7,10x,,,
001-53,8,10x,,,
001-53,9,10x,,,
001-53,10,10x,,,
001-54,1,10x,,,
001-54,2,10x,,,
001-54,3,10x,,,
001-54,4,10x,,,
001-54,5,10x,,,
001-54,6,10x,,,
001-54,7,10x,,,
001-54,8,10x,,,
001-54,9,10x,,,
001-54,10,10x,,,
001-56,1,4x,,,
001-56,2,4x,,,
001-56,3,4x,,,
001-56,4,4x,y,,
001-57,1,10x,,,
001-57,2,10x,,,
001-57,3,10x,,,
001-57,4,10x,,,
001-57,5,10x,,,
001-57,6,10x,,,
001-57,7,10x,,,
001-57,8,10x,,,
001-57,9,10x,,,
001-57,10,10x,,,
001-58,1,10x,,,
001-58,2,10x,,,
001-58,3,10x,,,
001-58,4,10x,,,
001-58,5,10x,,,
001-58,6,10x,,,
001-58,7,10x,,,
001-58,8,10x,,,
001-58,9,10x,,,
001-58,10,10x,,,
001-59,1,16,,,
001-60,1,16,,,
002-01,1,10x,,,
002-01,2,10x,,,
002-01,3,10x,,,
002-01,4,10x,,,
002-01,5,10x,,,
002-01,6,10x,,,
002-01,7,10x,,,
002-01,8,10x,,,
002-01,9,10x,,,
002-01,10,10x,,,
002-03,1,10,,,
002-03,2,6,,,
002-04,1,10x,,,
002-04,2,10x,,,
002-04,3,10x,,,
002-04,4,10x,,,
002-04,5,10x,,,
002-04,6,10x,,,
002-04,7,10x,,,
002-04,8,10x,,,
002-04,9,10x,,,
002-04,10,10x,,,
002-05,1,10x,,,
002-05,2,10x,,,
002-05,3,10x,,,
002-05,4,10x,,,
002-05,5,10x,,,
002-05,6,10x,,,
002-05,7,10x,,,
002-05,8,10x,,,
002-05,9,10x,,,
002-05,10,10x,,,
002-06,1,10x,,,
002-06,2,10x,,,
002-06,3,10x,,,
002-06,4,10x,,,
002-06,5,10x,,,
002-06,6,10x,,,
002-06,7,10x,,,
002-06,8,10x,,,
002-06,9,10x,,,
002-06,10,10x,,,
002-08,1,10,,,
002-08,2,6,,,
002-09,1,10x,,,
002-09,2,10x,,,
002-09,3,10x,,,
002-09,4,10x,,,
002-09,5,10x,,,
002-09,6,10x,,,
002-09,7,10x,,,
002-09,8,10x,,,
002-09,9,10x,,,
002-09,10,10x,,,
002-10,1,10x,,,
002-10,2,10x,,,
002-10,3,10x,,,
002-10,4,10x,,,
002-10,5,10x,,,
002-10,6,10x,,,
002-10,7,10x,,,
002-10,8,10x,,,
002-10,9,10x,,,
002-10,10,10x,,,
002-10,7,10x,,,
002-11,1,10x,,,
002-11,2,10x,,,
002-11,3,10x,,,
002-11,4,10x,,,
002-11,5,10x,,,
002-11,6,10x,,,
002-11,7,10x,,,
002-11,8,10x,,,
002-11,9,10x,,,
002-11,10,10x,,,
002-12,1,10x,,,
002-12,2,10x,,,
002-12,3,10x,,,
002-12,4,10x,,,
002-12,5,10x,,,
002-12,6,10x,,,
002-12,7,10x,,,
002-12,8,10x,,,
002-12,9,10x,,,
002-12,10,10x,,,
002-13,1,10x,,,
002-13,2,10x,,,
002-13,3,10x,,,
002-13,4,10x,,,
002-13,5,10x,,,
002-13,6,10x,,,
002-13,7,10x,,,
002-13,8,10x,,,
002-13,9,10x,,,
002-13,10,10x,,,
002-14,1,10x,,,
002-14,2,10x,,,
002-14,3,10x,,,
002-14,4,10x,,,
002-14,5,10x,,,
002-14,6,10x,,,
002-14,7,10x,,,
002-14,8,10x,,,
002-14,9,10x,,,
002-14,10,10x,,,
002-16,1,16,,,
002-17,1,10x,,,
002-17,2,10x,,,
002-17,3,10x,,,
002-17,4,10x,,,
002-17,5,10x,,,
002-17,6,10x,,,
002-17,7,10x,,,
002-17,8,10x,,,
002-17,9,10x,,,
002-17,10,10x,,,
002-18,1,15,,,
002-18,2,1,,,
002-20,1,6,,,
002-20,2,10,,,
002-21,1,6,,,
002-21,2,10,,,
002-22,1,16,,,
002-23,1,11,,,
002-23,2,5,,,
002-25,1,16,,,
002-26,1,5,,,
002-26,2,11,,,
002-29,1,6,,,
002-29,2,10,,,
002-31,1,14,,,
002-31,2,2,,,
002-33,1,10,,,
002-33,2,6,,,
002-34,1,16,,,
002-35,1,6,,,
002-35,2,10,,,
002-37,1,16,,,
002-38,1,2,,,
002-38,2,12,,,
002-38,3,2,y,,
002-39,1,14,,,
002-39,2,2,,,
002-43,1,9,,,
002-43,2,7,,,
002-45,1,10x,,,
002-45,2,10x,,,
002-45,3,10x,,,
002-45,4,10x,,,
002-45,5,10x,,,
002-45,6,10x,,,
002-45,7,10x,,,
002-45,8,10x,,,
002-45,9,10x,,,
002-45,10,10x,,,
002-47,1,13,,,
002-47,2,3,,,
002-48,1,15,,,
002-48,2,1,,,
002-49,1,16,,,
002-51,1,2,,,
002-51,2,12,,,
002-51,3,2,,,
002-55,1,6,,,
002-55,2,10,,,
002-58,1,16,,,
002-60,1,12,,,
002-60,2,4,,,
003-01,1,16,,,
003-02,1,12,,,
003-02,2,4,,,
003-03,1,11,,,
003-03,2,5,,,
003-04,1,16,,,
003-06,1,6,,,
003-06,2,10,,,
003-07,1,16,,,
003-11,1,16,,,
003-13,1,16,,,
003-16,1,2x,,,
003-16,2,2x,,,
003-17,1,16,,,
003-18,1,8,,,
003-18,2,8,,,
003-19,1,15,,,
003-19,2,1,,,
003-22,1,12,,,
003-22,2,4,,,
003-23,1,16,,,
003-25,1,13,,,
003-25,2,3,,,
003-26,1,14,,,
003-26,2,2,,,
003-27,1,16,,,
003-28,1,12,,,
003-28,2,4,,,
003-29,1,16,,,
003-30,1,16,,,
003-31,1,6,,,
003-31,2,10,,,
003-32,1,16,,,
003-33,1,16,,,
003-34,1,16,,,
003-35,1,16,,,
003-36,1,6,,,
003-36,2,10,,,
003-37,1,16,,,
003-40,1,16,,,
003-41,1,9,,,
003-41,2,7,,,
003-43,1,12,y,,
003-43,2,4,,,
003-44,1,16,,,
003-46,1,16,,,
003-48,1,14,,,
003-48,2,2,,,
003-49,1,16,,,
003-50,1,8,,,
003-50,2,8,,,
003-51,1,16,,,
003-52,1,10x,,,
003-52,2,10x,,,
003-52,3,10x,,,
003-52,4,10x,,,
003-52,5,10x,,,
003-52,6,10x,,,
003-52,7,10x,,,
003-52,8,10x,,,
003-52,9,10x,,,
003-52,10,10x,,,
003-53,1,15,,,
003-53,2,1,,,
003-54,1,14,,,
003-54,2,2,,,
003-55,1,16,,,
003-56,1,16,,,
003-57,1,16,,,
003-59,1,16,,,
003-60,1,12,,,
003-60,2,4,,,
004-01,1,8,,,
004-01,2,8,,,
004-03,1,5,,,
004-03,2,11,,,
004-04,1,16,,,
004-05,1,6,,,
004-05,2,10,,,
004-06,1,16,,,
004-07,1,16,,,
004-08,1,16,,,
004-09,1,4,,,
004-09,2,12,,,
004-10,1,16,,,
004-12,1,16,,,
004-13,1,4,,,
004-13,2,12,,,
004-16,1,16,,,
004-17,1,8,,,
004-17,2,8,,,
004-18,1,4,,,
004-18,2,12,,,
004-19,1,16,,,
004-20,1,16,,,
004-21,1,12,,,
004-21,2,4,,,
004-22,1,16,,,
004-23,1,16,,,
004-24,1,16,,,
004-25,1,16,,,
004-26,1,6,,,
004-26,2,10,,,
004-29,1,15,,,
004-29,2,1,,,
004-30,1,16,,,
004-31,1,8,,,
004-31,2,8,,,
004-32,1,8,,,
004-32,2,8,,,
004-33,1,15,,,
004-33,2,1,,,
004-34,1,12,,,
004-34,2,4,,,
004-35,1,4,,,
004-35,2,12,,,
004-36,1,13,,,
004-36,2,3,,,
004-38,1,6,,,
004-38,2,10,,,
004-39,1,7,,,
004-39,2,7,,,
004-39,3,2,,,
004-40,1,12,,,
004-40,2,4,,,
004-44,1,16,,,
004-46,1,16,,,
004-48,1,16,,,
004-49,1,8,,,
004-49,2,8,,,
004-50,1,12,,,
004-50,2,4,,,
004-52,1,8,,,
004-52,2,8,,,
004-54,1,16,,,
004-56,1,8,,,
004-56,2,8,,,
004-57,1,4,,,
004-57,2,12,,,
004-58,1,6,,,
004-58,2,10,,,
004-59,1,6,,,
004-59,2,10,,,
005-02,1,8,,,
005-02,2,8,,,
005-04,1,11,,,
005-04,2,5,,,
005-05,1,6,,,
005-05,2,10,,,
005-14,1,8,,,
005-14,2,8,,,
005-17,1,6w,,,
005-17,2,7w,,,
005-17,3,3w,,,
005-39,1,8,,,
005-39,2,8,,,
005-45,1,8,,,
005-45,2,8,,,
005-57,1,11,,,
005-57,2,5,,,
006-16,1,12,,,
006-16,2,4,,,
006-23,1,15,,,
006-23,2,1,y,,
006-24,1,10,,,
006-24,2,6,,,
006-32,1,12,,,
006-32,2,4,,,
006-33,1,6,,,
006-33,2,10,,,
006-34,1,14,,,
006-34,2,2,,,
006-36,1,10x,,,
006-36,2,10x,,,
006-36,3,10x,,,
006-36,4,10x,,,
006-36,5,10x,,,
006-36,6,10x,,,
006-36,7,10x,,,
006-36,8,10x,,,
006-36,9,10x,,,
006-36,10,10x,,,
006-41,1,6,,,
006-41,2,10,,,
006-45,1,12,,,
006-45,2,4,,,
006-46,1,5,,,
006-48,2,11,,,
006-49,1,12,,,
006-49,2,4,,,
006-50,1,4,,,
006-50,2,12,,,
006-51,1,10,,,
006-51,2,6,,,
006-56,1,6,,,
006-56,2,10,,,
007-07,1,6,,,
007-07,2,10,,,
007-10,1,12,,,
007-10,2,4,,,
007-26,1,8,,,
007-26,2,8,,,
007-42,1,8,y,,
007-42,2,8,,,
007-50,1,12,,,
007-50,2,4,,,
008-04,1,15,,,
008-04,2,1,,,
008-07,1,6,,,
008-07,2,10,,,
008-09,1,8x,,,
008-09,2,8x,,,
008-09,3,8x,,,
008-09,4,8x,,,
008-09,5,8x,,,
008-09,6,8x,y,,
008-09,7,8x,,,
008-09,8,8x,,,
008-26,1,8x,y,,
008-26,2,8x,y,,
008-26,3,8x,y,,
008-26,4,8x,y,,
008-26,5,8x,y,,
008-26,6,8x,y,,
008-26,7,8x,y,,
008-26,8,8x,y,,
008-30,1,8,,,
008-30,2,8,,,
008-36,1,12,,,
008-36,2,4,,,
008-42,1,8,,,
008-42,2,8,,,
008-43,1,10,,,
008-43,2,6,,,
008-46,1,11,,,
008-46,2,5,,,
008-51,1,8,,,
008-51,2,8,,,
008-55,1,6,,,
008-55,2,10,,,
008-56,1,8,,,
008-56,2,8,,,
009-11,1,8w,,,
009-11,2,8w,,,
009-13,1,6,,,
009-13,2,10,,,
009-42,1,12,,,
009-42,2,4,,,
009-44,1,12,,,
009-44,2,4,,,
009-49,1,8,,,
009-49,2,8,,,
009-51,1,6,,,
009-51,2,10,,,
009-52,1,8,,,
009-52,2,8,,,
009-57,1,6,,,
009-57,2,10,,,
010-01,1,10x,,,
010-01,2,10x,,,
010-01,3,10x,,,
010-01,4,10x,,,
010-01,5,10x,,,
010-01,6,10x,,,
010-01,7,10x,,,
010-01,8,10x,,,
010-01,9,10x,,,
010-01,10,10x,,,
010-08,1,8,,,
010-08,2,8,,,
010-20,1,5,,,
010-20,2,11,,,
010-24,1,10x,,,
010-24,2,10x,,,
010-24,3,10x,,,
010-24,4,10x,,,
010-24,5,10x,,,
010-24,6,10x,,,
010-24,7,10x,,,
010-24,8,10x,,,
010-24,9,10x,,,
010-24,10,10x,,,
010-29,1,4,,,
010-29,2,12,,,
010-41,1,10,,,
010-41,2,6,,,
010-42,1,12w,,,
010-42,2,4w,,,
010-59,1,6,,,
010-59,2,10,,,
010-60,1,11,,,
010-60,2,5,,,
011-01,1,10x,,,
011-01,2,10x,,,
011-01,3,10x,,,
011-01,4,10x,,,
011-01,5,10x,,,
011-01,6,10x,,,
011-01,7,10x,,,
